Id,MarketPlaceValuation,MarketPlaceOffer,MarketPlaceEGP,DirectValuation,DirectOffer,DirectEGP,GrossProfit,Type
3417325,50,0,20,175,155,20,20,Direct
3421269,100,0,35,260,225,35,35,Direct
3422606,400,95,35,220,185,35,35,Direct
3389064,100,0,35,220,185,35,35,Direct
3391840,25,0,35,125,90,35,35,Direct
3406516,150,0,35,120,85,35,35,Direct
3412423,125,0,35,225,190,35,35,Direct
3416276,75,0,35,225,190,35,35,Direct
3417246,250,45,35,225,190,35,35,Direct
3419641,125,0,60,120,60,60,60,Direct
3423126,125,0,35,260,225,35,35,Direct
3423128,50,0,35,200,165,35,35,Direct
3425334,225,0,35,260,225,35,35,Direct
3425298,100,0,35,225,190,35,35,Direct
3386253,125,0,35,240,205,35,35,Direct
3394680,250,45,35,155,120,35,35,Direct
3400696,150,0,35,170,135,35,35,Direct
3413278,225,30,35,235,200,35,35,Direct
3414264,275,75,35,265,230,35,35,Direct
3415671,125,0,36,171,135,36,36,Direct
3401595,100,0,35,125,90,35,35,Direct
3396073,75,0,35,225,190,35,35,Direct
3410177,175,0,35,180,145,35,35,Direct
3410513,175,0,35,100,65,35,35,Direct
3411283,225,20,35,175,140,35,35,Direct
3414357,125,0,35,180,145,35,35,Direct
3422932,50,0,35,260,225,35,35,Direct
3423666,125,0,35,260,225,35,35,Direct
3423851,475,170,50,250,200,50,50,Direct
3424451,25,0,35,275,240,35,35,Direct
3424602,75,0,35,230,195,35,35,Direct
3425789,300,0,50,350,300,50,50,Direct
3409248,150,0,16,46,30,16,16,Direct
3414478,200,15,20,80,60,20,20,Direct
3418086,225,35,35,190,155,35,35,Direct
3418215,275,55,35,265,230,35,35,Direct
3413492,25,0,35,225,190,35,35,Direct
3425381,250,0,50,265,215,50,50,Direct
3395219,125,0,35,150,115,35,35,Direct
3418690,100,0,35,165,130,35,35,Direct
3420555,125,0,35,220,185,35,35,Direct
3421155,125,0,35,260,225,35,35,Direct
3422984,100,0,35,175,140,35,35,Direct
3423970,50,0,25,90,65,25,25,Direct
3426285,125,0,35,260,225,35,35,Direct
3429679,525,220,50,365,315,50,50,Direct
3433480,225,15,25,75,50,25,25,Direct
3433980,125,0,25,80,55,25,25,Direct
3430172,50,0,35,245,210,35,35,Direct
3394574,200,10,35,195,160,35,35,Direct
3400347,100,0,20,140,120,20,20,Direct
3402126,400,130,35,105,70,35,35,Direct
3407449,100,0,35,155,120,35,35,Direct
3410082,125,0,35,140,105,35,35,Direct
3414001,50,0,35,140,105,35,35,Direct
3416273,250,60,35,175,140,35,35,Direct
3416741,200,10,35,240,205,35,35,Direct
3404047,200,10,20,75,55,20,20,Direct
3405936,50,0,20,75,55,20,20,Direct
3410344,150,0,20,195,175,20,20,Direct
3414607,125,0,50,260,210,50,50,Direct
3415458,225,35,35,120,85,35,35,Direct
3405030,275,55,35,150,115,35,35,Direct
3424018,200,0,35,260,225,35,35,Direct
3424954,275,115,110,405,295,110,110,Direct
3420923,100,0,35,255,220,35,35,Direct
3422548,75,0,35,230,195,35,35,Direct
3425722,225,15,35,225,190,35,35,Direct
3433040,100,0,35,150,115,35,35,Direct
3436835,125,0,35,145,110,35,35,Direct
3437218,75,0,36,106,70,36,36,Direct
3435014,2875,2280,350,2750,2400,350,350,Direct
3438890,225,20,50,220,170,50,50,Direct
3396072,150,0,35,250,215,35,35,Direct
3441766,175,0,35,140,105,35,35,Direct
3442000,175,0,20,80,60,20,20,Direct
3405615,175,0,35,260,225,35,35,Direct
3443604,225,0,35,250,215,35,35,Direct
3444421,175,0,60,170,110,60,60,Direct
3444842,100,0,35,250,215,35,35,Direct
3445493,400,95,20,175,155,20,20,Direct
3446195,125,0,20,60,40,20,20,Direct
3446276,75,0,60,195,135,60,60,Direct
3405356,75,0,35,125,90,35,35,Direct
3428555,150,0,80,280,200,80,80,Direct
3430559,225,0,35,250,215,35,35,Direct
3415852,375,90,50,225,175,50,50,Direct
3435171,175,0,35,260,225,35,35,Direct
3435321,150,0,45,125,80,45,45,Direct
3435707,300,85,20,190,170,20,20,Direct
3436040,150,0,50,275,225,50,50,Direct
3439519,225,15,35,180,145,35,35,Direct
3439783,100,0,20,170,150,20,20,Direct
3440452,125,0,35,250,215,35,35,Direct
3429909,225,15,35,250,215,35,35,Direct
3444145,250,40,35,250,215,35,35,Direct
3432981,125,0,20,80,60,20,20,Direct
3446522,550,230,40,295,255,40,40,Direct
3447272,75,0,20,80,60,20,20,Direct
3446293,75,0,35,155,120,35,35,Direct
3446327,300,0,35,190,155,35,35,Direct
3446795,100,0,50,270,220,50,50,Direct
3447199,175,0,75,300,225,75,75,Direct
3448633,275,65,60,130,70,60,60,Direct
3409895,200,0,35,250,215,35,35,Direct
3450807,150,0,35,250,215,35,35,Direct
3449318,75,0,20,125,105,20,20,Direct
3453364,275,0,25,50,25,25,25,Direct
3453479,150,0,50,340,290,50,50,Direct
3440830,75,0,25,90,65,25,25,Direct
3454917,50,0,40,250,210,40,40,Direct
3455555,100,0,25,75,50,25,25,Direct
3455670,125,0,35,150,115,35,35,Direct
3456053,125,0,35,155,120,35,35,Direct
3456223,125,0,35,240,205,35,35,Direct
3457159,2325,1655,650,2495,1845,650,650,Direct
3457206,100,0,35,115,80,35,35,Direct
3457423,150,0,35,155,120,35,35,Direct
3457610,175,0,35,250,215,35,35,Direct
3457827,250,0,35,135,100,35,35,Direct
3458112,50,0,25,50,25,25,25,Direct
3458346,275,0,50,265,215,50,50,Direct
3458546,275,65,100,235,135,100,100,Direct
3458593,375,135,50,385,335,50,50,Direct
3458695,175,0,50,265,215,50,50,Direct
3459746,225,15,25,50,25,25,25,Direct
3445093,400,95,49,219,170,49,49,Direct
3460299,275,0,20,50,30,20,20,Direct
3461001,450,170,50,275,225,50,50,Direct
3461052,175,0,35,150,115,35,35,Direct
3461503,75,0,20,60,40,20,20,Direct
3461720,150,0,50,250,200,50,50,Direct
3461771,100,0,50,250,200,50,50,Direct
3461852,75,0,20,85,65,20,20,Direct
3462741,150,0,50,225,175,50,50,Direct
3462758,375,115,85,230,145,85,85,Direct
3462771,450,170,35,225,190,35,35,Direct
3463005,350,95,50,205,155,50,50,Direct
3428541,125,0,35,225,190,35,35,Direct
3428809,300,15,35,270,235,35,35,Direct
3430131,75,0,35,180,145,35,35,Direct
3430256,100,0,35,225,190,35,35,Direct
3434200,25,0,35,245,210,35,35,Direct
3434732,125,0,35,265,230,35,35,Direct
3367146,100,0,35,150,115,35,35,Direct
3435404,150,0,35,130,95,35,35,Direct
3436654,100,0,35,170,135,35,35,Direct
3439355,200,0,35,250,215,35,35,Direct
3442231,400,90,35,245,210,35,35,Direct
3442495,275,70,75,330,255,75,75,Direct
3445571,325,40,60,145,85,60,60,Direct
3446818,300,0,35,110,75,35,35,Direct
3449583,400,120,75,300,225,75,75,Direct
3426906,100,0,40,325,285,40,40,Direct
3428444,75,0,35,195,160,35,35,Direct
3431188,225,15,50,315,265,50,50,Direct
3432171,125,0,60,195,135,60,60,Direct
3432188,125,0,35,260,225,35,35,Direct
3434445,350,185,35,250,215,35,35,Direct
3437687,150,0,35,265,230,35,35,Direct
3410832,300,0,51,211,160,51,51,Direct
3424921,275,0,35,250,215,35,35,Direct
3438525,125,0,25,80,55,25,25,Direct
3439225,75,0,35,135,100,35,35,Direct
3441933,275,0,35,150,115,35,35,Direct
3444956,125,0,50,325,275,50,50,Direct
3444656,300,0,35,250,215,35,35,Direct
3447447,225,0,35,250,215,35,35,Direct
3448400,200,0,20,170,150,20,20,Direct
3373409,100,0,25,70,45,25,25,Direct
3448719,150,0,25,50,25,25,25,Direct
3448900,125,0,35,245,210,35,35,Direct
3449070,150,0,60,140,80,60,60,Direct
3446511,225,0,35,140,105,35,35,Direct
3450055,150,0,60,155,95,60,60,Direct
3421454,400,95,35,200,165,35,35,Direct
3430514,175,0,50,250,200,50,50,Direct
3431150,125,0,35,260,225,35,35,Direct
3432952,100,0,25,75,50,25,25,Direct
3429978,200,0,35,260,225,35,35,Direct
3435160,125,0,50,325,275,50,50,Direct
3435194,75,0,50,325,275,50,50,Direct
3435460,175,0,35,260,225,35,35,Direct
3435787,100,0,25,55,30,25,25,Direct
3436253,175,0,35,190,155,35,35,Direct
3437832,225,15,35,170,135,35,35,Direct
3440033,275,0,35,250,215,35,35,Direct
3440331,375,65,20,105,85,20,20,Direct
3442246,125,0,25,55,30,25,25,Direct
3445177,250,40,50,250,200,50,50,Direct
3446090,225,0,35,185,150,35,35,Direct
3446592,175,0,50,205,155,50,50,Direct
3446685,200,0,35,250,215,35,35,Direct
3446883,125,0,50,250,200,50,50,Direct
3433822,200,0,25,55,30,25,25,Direct
3448721,300,20,25,60,35,25,25,Direct
3427851,50,0,35,250,215,35,35,Direct
3428770,75,0,50,225,175,50,50,Direct
3429592,225,0,50,325,275,50,50,Direct
3434471,250,0,20,175,155,20,20,Direct
3435957,100,0,20,175,155,20,20,Direct
3436025,425,120,110,455,345,110,110,Direct
3436893,225,0,35,260,225,35,35,Direct
3437611,100,0,40,210,170,40,40,Direct
3439216,275,0,35,105,70,35,35,Direct
3441105,225,15,50,220,170,50,50,Direct
3442627,75,0,20,175,155,20,20,Direct
3443095,125,0,35,160,125,35,35,Direct
3445700,300,90,75,315,240,75,75,Direct
3445818,100,0,20,105,85,20,20,Direct
3446185,250,0,60,195,135,60,60,Direct
3446572,325,20,20,160,140,20,20,Direct
3446989,150,0,50,225,175,50,50,Direct
3447022,100,0,35,195,160,35,35,Direct
3450065,250,0,60,195,135,60,60,Direct
3450533,125,0,35,125,90,35,35,Direct
3446171,250,0,35,135,100,35,35,Direct
3453188,100,0,25,85,60,25,25,Direct
3453992,50,0,20,30,10,20,20,Direct
3411346,125,0,35,160,125,35,35,Direct
3427615,100,0,35,240,205,35,35,Direct
3428726,225,0,36,106,70,36,36,Direct
3421638,125,0,5,10,5,5,5,Direct
3430287,325,40,35,250,215,35,35,Direct
3416217,100,0,50,230,180,50,50,Direct
3433236,25,0,25,80,55,25,25,Direct
3434299,325,110,35,235,200,35,35,Direct
3435342,100,0,35,115,80,35,35,Direct
3436707,275,0,35,225,190,35,35,Direct
3437141,225,0,35,260,225,35,35,Direct
3420536,50,0,35,245,210,35,35,Direct
3438184,125,0,25,70,45,25,25,Direct
3438277,125,0,35,275,240,35,35,Direct
3441651,300,0,35,275,240,35,35,Direct
3441928,125,0,35,125,90,35,35,Direct
3442030,350,70,75,380,305,75,75,Direct
3442898,200,0,50,235,185,50,50,Direct
3443230,100,0,20,175,155,20,20,Direct
3444000,175,0,20,75,55,20,20,Direct
3444234,125,0,50,225,175,50,50,Direct
3444425,350,135,35,240,205,35,35,Direct
3445336,200,0,35,140,105,35,35,Direct
3423473,125,0,35,220,185,35,35,Direct
3413564,375,70,35,250,215,35,35,Direct
3426917,175,0,20,60,40,20,20,Direct
3427904,100,0,35,250,215,35,35,Direct
3426082,100,0,10,15,5,10,10,Direct
3430426,200,0,20,190,170,20,20,Direct
3431462,475,160,35,260,225,35,35,Direct
3432448,150,0,25,75,50,25,25,Direct
3433483,100,0,35,225,190,35,35,Direct
3434170,375,70,60,190,130,60,60,Direct
3436942,200,0,50,315,265,50,50,Direct
3438699,425,145,35,250,215,35,35,Direct
3440235,125,0,20,35,15,20,20,Direct
3441722,250,0,35,250,215,35,35,Direct
3443043,350,40,35,240,205,35,35,Direct
3444130,275,0,35,250,215,35,35,Direct
3444716,150,0,35,250,215,35,35,Direct
3445115,75,0,35,200,165,35,35,Direct
3445802,100,0,35,250,215,35,35,Direct
3446702,75,0,25,50,25,25,25,Direct
3446873,225,15,45,195,150,45,45,Direct
3427661,400,95,35,250,215,35,35,Direct
3427676,75,0,35,250,215,35,35,Direct
3430633,125,0,25,80,55,25,25,Direct
3432475,100,0,50,250,200,50,50,Direct
3435583,425,120,35,260,225,35,35,Direct
3436785,350,180,35,250,215,35,35,Direct
3437121,175,0,35,250,215,35,35,Direct
3437636,275,0,35,260,225,35,35,Direct
3438455,250,0,50,150,100,50,50,Direct
3438806,175,0,20,95,75,20,20,Direct
3440293,425,115,35,250,215,35,35,Direct
3440478,175,0,20,25,5,20,20,Direct
3443535,75,0,35,150,115,35,35,Direct
3446096,100,0,20,175,155,20,20,Direct
3446630,250,40,50,225,175,50,50,Direct
3447379,100,0,35,250,215,35,35,Direct
3439442,175,0,50,220,170,50,50,Direct
3448451,100,0,35,250,215,35,35,Direct
3450742,175,0,20,175,155,20,20,Direct
3451842,225,15,25,95,70,25,25,Direct
3452363,25,0,15,60,45,15,15,Direct
3452529,125,0,35,240,205,35,35,Direct
3453816,375,90,60,190,130,60,60,Direct
3454201,275,65,75,375,300,75,75,Direct
3454450,75,0,35,105,70,35,35,Direct
3455237,125,0,20,135,115,20,20,Direct
3455435,175,0,50,250,200,50,50,Direct
3455486,75,0,35,150,115,35,35,Direct
3456188,150,0,35,190,155,35,35,Direct
3456558,125,0,35,170,135,35,35,Direct
3456673,125,0,35,250,215,35,35,Direct
3456907,150,0,35,245,210,35,35,Direct
3457009,100,0,35,165,130,35,35,Direct
3457107,175,0,35,250,215,35,35,Direct
3458160,500,220,110,425,315,110,110,Direct
3449772,175,0,35,160,125,35,35,Direct
3459030,300,20,50,200,150,50,50,Direct
3459581,175,0,35,255,220,35,35,Direct
3459766,125,0,35,225,190,35,35,Direct
3460868,150,0,20,80,60,20,20,Direct
3461204,175,0,50,250,200,50,50,Direct
3461217,75,0,10,15,5,10,10,Direct
3461504,400,90,50,250,200,50,50,Direct
3447947,425,145,50,200,150,50,50,Direct
3458445,100,0,15,70,55,15,15,Direct
3462289,200,0,50,210,160,50,50,Direct
3458845,175,0,50,210,160,50,50,Direct
3462604,75,0,35,150,115,35,35,Direct
3463140,100,0,35,140,105,35,35,Direct
3463174,200,0,35,225,190,35,35,Direct
3463476,175,0,35,185,150,35,35,Direct
3463576,75,0,35,205,170,35,35,Direct
3463810,75,0,35,160,125,35,35,Direct
3463874,100,0,50,210,160,50,50,Direct
3464697,125,0,35,155,120,35,35,Direct
3464846,125,0,20,170,150,20,20,Direct
3445875,125,0,35,265,230,35,35,Direct
3465212,100,0,50,215,165,50,50,Direct
3447538,200,0,50,325,275,50,50,Direct
3448124,100,0,50,220,170,50,50,Direct
3448123,250,0,50,205,155,50,50,Direct
3419129,1025,515,200,1100,900,200,200,Direct
3445451,150,0,25,85,60,25,25,Direct
3426096,125,0,35,150,115,35,35,Direct
3450296,325,20,40,210,170,40,40,Direct
3450967,125,0,60,165,105,60,60,Direct
3451032,150,5,50,220,170,50,50,Direct
3451382,100,0,50,255,205,50,50,Direct
3452204,250,0,25,75,50,25,25,Direct
3445315,125,0,25,65,40,25,25,Direct
3443480,150,0,35,190,155,35,35,Direct
3455762,125,0,60,130,70,60,60,Direct
3456733,100,0,60,105,45,60,60,Direct
3456984,200,0,60,110,50,60,60,Direct
3456748,150,0,25,75,50,25,25,Direct
3457233,125,0,35,190,155,35,35,Direct
3457248,100,0,20,75,55,20,20,Direct
3457483,300,90,35,245,210,35,35,Direct
3457534,125,0,35,150,115,35,35,Direct
3458819,125,0,35,115,80,35,35,Direct
3458805,325,45,50,275,225,50,50,Direct
3459541,150,0,35,105,70,35,35,Direct
3460642,175,0,50,200,150,50,50,Direct
3461242,200,0,25,90,65,25,25,Direct
3461327,200,0,50,205,155,50,50,Direct
3461627,325,20,25,75,50,25,25,Direct
3459356,175,0,35,140,105,35,35,Direct
3448766,675,85,50,325,275,50,50,Direct
3448951,100,0,5,10,5,5,5,Direct
3448987,125,0,5,10,5,5,5,Direct
3440814,125,0,35,195,160,35,35,Direct
3433526,400,90,150,350,200,150,150,Direct
3450340,175,0,60,115,55,60,60,Direct
3426825,125,0,20,175,155,20,20,Direct
3424851,150,0,20,80,60,20,20,Direct
3451025,225,0,50,230,180,50,50,Direct
3451440,150,0,60,150,90,60,60,Direct
3451561,100,0,20,145,125,20,20,Direct
3451759,175,0,35,250,215,35,35,Direct
3451925,100,0,35,270,235,35,35,Direct
3451959,175,0,25,75,50,25,25,Direct
3451995,75,0,35,110,75,35,35,Direct
3452276,200,0,25,55,30,25,25,Direct
3452446,100,0,10,15,5,10,10,Direct
3452661,1575,995,500,1500,1000,500,500,Direct
3453248,75,0,50,205,155,50,50,Direct
3453731,350,65,25,95,70,25,25,Direct
3454131,25,0,35,190,155,35,35,Direct
3454582,100,0,35,175,140,35,35,Direct
3454967,325,45,20,155,135,20,20,Direct
3455603,100,0,35,190,155,35,35,Direct
3455705,300,15,35,205,170,35,35,Direct
3455769,75,0,35,120,85,35,35,Direct
3456103,225,15,35,135,100,35,35,Direct
3456354,125,0,35,145,110,35,35,Direct
3456656,100,0,20,25,5,20,20,Direct
3457041,175,0,50,205,155,50,50,Direct
3457090,100,0,35,265,230,35,35,Direct
3457692,100,0,35,190,155,35,35,Direct
3458011,125,0,35,250,215,35,35,Direct
3458077,100,0,60,150,90,60,60,Direct
3458075,75,0,35,110,75,35,35,Direct
3458111,125,0,35,180,145,35,35,Direct
3454869,475,165,50,245,195,50,50,Direct
3458477,725,405,155,700,545,155,155,Direct
3459128,325,15,35,150,115,35,35,Direct
3459213,175,0,50,215,165,50,50,Direct
3459813,375,120,80,430,350,80,80,Direct
3429148,250,100,35,150,115,35,35,Direct
3460385,125,0,50,200,150,50,50,Direct
3460634,75,0,35,190,155,35,35,Direct
3427339,100,0,35,225,190,35,35,Direct
3427739,300,15,35,260,225,35,35,Direct
3429168,150,0,35,260,225,35,35,Direct
3435170,125,0,10,20,10,10,10,Direct
3436370,100,0,25,80,55,25,25,Direct
3436949,125,0,35,225,190,35,35,Direct
3436999,100,0,60,195,135,60,60,Direct
3437735,250,40,50,225,175,50,50,Direct
3421373,225,0,35,155,120,35,35,Direct
3438078,425,145,80,430,350,80,80,Direct
3438485,75,0,50,275,225,50,50,Direct
3375729,225,0,50,325,275,50,50,Direct
3439314,150,0,20,190,170,20,20,Direct
3396144,100,0,35,225,190,35,35,Direct
3440443,175,0,50,285,235,50,50,Direct
3440900,125,0,25,90,65,25,25,Direct
3442765,375,95,50,295,245,50,50,Direct
3443022,375,90,35,150,115,35,35,Direct
3443415,150,0,35,225,190,35,35,Direct
3443715,50,0,50,275,225,50,50,Direct
3446323,275,0,20,140,120,20,20,Direct
3446566,125,0,35,160,125,35,35,Direct
3447495,200,0,35,225,190,35,35,Direct
3447695,75,0,35,140,105,35,35,Direct
3447802,225,0,35,115,80,35,35,Direct
3448545,150,0,35,245,210,35,35,Direct
3432075,100,0,35,195,160,35,35,Direct
3432211,125,0,60,130,70,60,60,Direct
3432411,175,0,35,260,225,35,35,Direct
3434283,200,0,35,225,190,35,35,Direct
3435128,275,0,60,160,100,60,60,Direct
3436955,275,70,20,95,75,20,20,Direct
3434392,125,0,20,125,105,20,20,Direct
3439229,500,180,35,250,215,35,35,Direct
3438570,100,0,35,260,225,35,35,Direct
3441078,75,0,20,80,60,20,20,Direct
3442035,350,45,60,135,75,60,60,Direct
3442271,75,0,60,130,70,60,60,Direct
3443509,100,0,35,245,210,35,35,Direct
3440801,175,0,35,185,150,35,35,Direct
3446381,150,0,60,185,125,60,60,Direct
3447453,100,0,35,280,245,35,35,Direct
3447560,175,0,50,270,220,50,50,Direct
3427660,500,190,50,325,275,50,50,Direct
3427911,475,190,75,300,225,75,75,Direct
3428247,125,0,35,255,220,35,35,Direct
3429298,150,0,35,250,215,35,35,Direct
3429549,100,0,20,140,120,20,20,Direct
3429583,125,0,35,250,215,35,35,Direct
3429681,400,90,35,250,215,35,35,Direct
3431119,100,0,35,245,210,35,35,Direct
3431238,100,0,25,85,60,25,25,Direct
3431906,75,0,35,115,80,35,35,Direct
3431940,125,0,35,100,65,35,35,Direct
3432106,200,0,50,325,275,50,50,Direct
3436369,225,0,50,295,245,50,50,Direct
3438556,550,235,75,385,310,75,75,Direct
3438756,175,0,35,265,230,35,35,Direct
3438841,175,0,35,240,205,35,35,Direct
3439458,425,115,35,225,190,35,35,Direct
3440313,250,0,35,250,215,35,35,Direct
3432706,275,0,20,130,110,20,20,Direct
3442283,225,0,35,110,75,35,35,Direct
3442334,200,0,20,60,40,20,20,Direct
3432489,375,65,50,225,175,50,50,Direct
3444606,100,0,35,150,115,35,35,Direct
3445742,75,0,20,90,70,20,20,Direct
3446844,225,15,45,195,150,45,45,Direct
3446780,100,0,25,95,70,25,25,Direct
3446895,125,0,20,180,160,20,20,Direct
3446814,175,0,20,175,155,20,20,Direct
3447414,225,0,35,100,65,35,35,Direct
3422542,225,0,35,250,215,35,35,Direct
3427588,350,65,20,175,155,20,20,Direct
3427749,125,0,35,190,155,35,35,Direct
3429119,200,0,50,320,270,50,50,Direct
3421095,225,15,35,105,70,35,35,Direct
3439713,100,0,35,245,210,35,35,Direct
3430566,100,0,35,150,115,35,35,Direct
3441794,125,0,35,125,90,35,35,Direct
3441960,275,0,20,150,130,20,20,Direct
3443091,200,0,35,105,70,35,35,Direct
3443832,225,15,35,260,225,35,35,Direct
3444870,200,0,35,180,145,35,35,Direct
3446533,425,0,50,340,290,50,50,Direct
3446767,225,0,20,80,60,20,20,Direct
3447074,75,0,20,45,25,20,20,Direct
3447133,500,215,50,325,275,50,50,Direct
3447303,275,0,60,190,130,60,60,Direct
3447937,150,0,50,260,210,50,50,Direct
3448010,350,185,50,255,205,50,50,Direct
3449341,125,0,35,145,110,35,35,Direct
3449877,50,0,35,165,130,35,35,Direct
3449941,150,0,35,135,100,35,35,Direct
3461200,125,0,50,250,200,50,50,Direct
3461672,100,0,35,170,135,35,35,Direct
3461736,425,145,50,325,275,50,50,Direct
3461785,100,0,35,160,125,35,35,Direct
3462721,150,0,50,225,175,50,50,Direct
3462772,125,0,35,170,135,35,35,Direct
3462808,125,0,20,90,70,20,20,Direct
3463157,125,0,50,220,170,50,50,Direct
3463242,125,0,20,35,15,20,20,Direct
3463342,375,0,50,235,185,50,50,Direct
3463608,400,120,20,170,150,20,20,Direct
3463708,100,0,35,140,105,35,35,Direct
3463457,100,0,20,65,45,20,20,Direct
3463944,100,0,75,300,225,75,75,Direct
3464178,75,0,60,125,65,60,60,Direct
3464563,175,0,35,125,90,35,35,Direct
3464627,100,0,35,190,155,35,35,Direct
3464878,200,0,60,190,130,60,60,Direct
3465129,300,90,40,340,300,40,40,Direct
3465563,175,0,15,80,65,15,15,Direct
3465765,75,0,20,140,120,20,20,Direct
3380329,325,20,75,370,295,75,75,Direct
3466435,100,0,35,195,160,35,35,Direct
3448415,175,0,35,125,90,35,35,Direct
3466701,300,0,20,145,125,20,20,Direct
3466735,300,15,35,190,155,35,35,Direct
3466852,200,0,60,100,40,60,60,Direct
3466952,150,0,35,150,115,35,35,Direct
3467001,150,0,35,100,65,35,35,Direct
3466499,275,0,35,185,150,35,35,Direct
3467886,75,0,20,80,60,20,20,Direct
3467952,175,0,35,140,105,35,35,Direct
3468071,250,0,20,160,140,20,20,Direct
3468137,175,0,50,235,185,50,50,Direct
3468624,100,0,35,150,115,35,35,Direct
3468537,250,0,35,170,135,35,35,Direct
3468722,350,65,25,95,70,25,25,Direct
3468771,125,0,20,140,120,20,20,Direct
3469173,125,0,20,160,140,20,20,Direct
3469407,50,0,50,200,150,50,50,Direct
3469758,150,0,25,80,55,25,25,Direct
3470879,175,25,50,250,200,50,50,Direct
3464027,150,0,36,156,120,36,36,Direct
3471445,100,0,35,190,155,35,35,Direct
3466786,300,90,35,190,155,35,35,Direct
3411247,100,0,50,270,220,50,50,Direct
3462564,375,65,35,240,205,35,35,Direct
3455411,225,15,35,145,110,35,35,Direct
3462713,50,0,35,225,190,35,35,Direct
3462850,125,0,35,150,115,35,35,Direct
3462849,125,0,20,140,120,20,20,Direct
3463300,150,0,35,190,155,35,35,Direct
3463499,275,65,40,230,190,40,40,Direct
3426818,125,0,35,100,65,35,35,Direct
3463585,100,0,35,170,135,35,35,Direct
3463936,125,0,50,235,185,50,50,Direct
3463986,150,0,35,265,230,35,35,Direct
3464136,100,0,35,160,125,35,35,Direct
3464135,225,15,20,75,55,20,20,Direct
3464186,100,0,35,100,65,35,35,Direct
3464200,150,0,50,325,275,50,50,Direct
3464471,200,0,50,240,190,50,50,Direct
3464871,225,0,35,180,145,35,35,Direct
3464886,75,0,50,220,170,50,50,Direct
3465172,175,0,35,170,135,35,35,Direct
3461128,375,65,50,250,200,50,50,Direct
3466493,200,0,35,150,115,35,35,Direct
3466207,125,0,35,140,105,35,35,Direct
3465721,50,0,20,180,160,20,20,Direct
3464150,150,0,35,245,210,35,35,Direct
3461663,250,40,50,255,205,50,50,Direct
3442158,150,0,20,145,125,20,20,Direct
